Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,join_key,tmdb_id
1,1927,Writing,"WRITING (Original Story)","WRITING (Original Story)",an0051266,Underworld,tt0018526,"Ben Hecht","Ben Hecht",nm0372942,TRUE,underworld,277
2,1928,Acting,"ACTOR IN A LEADING ROLE",ACTOR,an0053795,"The Patriot",tt0019257,"Lewis Stone","Lewis Stone",nm0832011,,thepatriot,2024
2,1928,Acting,"ACTRESS IN A LEADING ROLE",ACTRESS,an0053801,"The Broadway Melody",tt0019729,"Bessie Love","Bessie Love",nm0522281,,thebroadwaymelody,65203
2,1928,Production,"ART DIRECTION","ART DIRECTION",an0053832,"The Patriot",tt0019257,"Hans Dreier","Hans Dreier",nm0237417,,thepatriot,2024
2,1928,Production,"ART DIRECTION","ART DIRECTION",an0053826,"The Bridge of San Luis Rey",tt0019722,"Cedric Gibbons","Cedric Gibbons",nm0316539,TRUE,thebridgeofsanluisrey,45881
2,1928,Production,"ART DIRECTION","ART DIRECTION",an0053828,"The Awakening",tt0018666,"William Cameron Menzies","William Cameron Menzies",nm0580017,,theawakening,77949
2,1928,Directing,DIRECTING,DIRECTING,an0053804,"The Broadway Melody",tt0019729,"Harry Beaumont","Harry Beaumont",nm0064600,,thebroadwaymelody,65203
2,1928,Directing,DIRECTING,DIRECTING,an0053808,"The Patriot",tt0019257,"Ernst Lubitsch","Ernst Lubitsch",nm0523932,,thepatriot,2024
2,1928,Title,"BEST PICTURE","OUTSTANDING PICTURE",an0053786,"The Broadway Melody",tt0019729,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,TRUE,thebroadwaymelody,65203
2,1928,Title,"BEST PICTURE","OUTSTANDING PICTURE",an0053790,"The Patriot",tt0019257,"Paramount Famous Lasky","Paramount Famous Lasky",co0023400,,thepatriot,2024
2,1928,Writing,"WRITING (Adapted Screenplay)",WRITING,an0053809,"The Patriot",tt0019257,"Hans Kraly","Hans Kraly",nm0473134,TRUE,thepatriot,2024
3,1929,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0053868,"Hell's Angels",tt0020960,"(Gaetano Gaudio), (Harry Perry)","Gaetano Gaudio, Harry Perry","nm0309974,nm0675091",,hellsangels,22301
4,1930,Acting,"ACTOR IN A LEADING ROLE",ACTOR,an0050084,"The Front Page",tt0021890,"Adolphe Menjou","Adolphe Menjou",nm0579663,,thefrontpage,987
4,1930,Directing,DIRECTING,DIRECTING,an0050092,"The Front Page",tt0021890,"Lewis Milestone","Lewis Milestone",nm0587277,,thefrontpage,987
4,1930,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0050077,"The Front Page",tt0021890,"The Caddo Company","The Caddo Company",co0074827,,thefrontpage,987
5,1931,Acting,"ACTRESS IN A LEADING ROLE",ACTRESS,an0053442,Emma,tt0022854,"Marie Dressler","Marie Dressler",nm0237597,,emma,183894
6,1932,Acting,"ACTRESS IN A LEADING ROLE",ACTRESS,an0052210,"Morning Glory",tt0024353,"Katharine Hepburn","Katharine Hepburn",nm0000031,TRUE,morningglory,38357
6,1932,Production,"ART DIRECTION","ART DIRECTION",an0052226,"A Farewell to Arms",tt0022879,"Hans Dreier, Roland Anderson","Hans Dreier, Roland Anderson","nm0237417,nm0027380",,afarewelltoarms,22649
6,1932,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,an0052222,"A Farewell to Arms",tt0022879,"Charles Bryant Lang, Jr.","Charles Bryant Lang Jr.",nm0485702,TRUE,afarewelltoarms,22649
6,1932,Directing,DIRECTING,DIRECTING,an0052215,"Little Women",tt0024264,"George Cukor","George Cukor",nm0002030,,littlewomen,9587
6,1932,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0052199,"A Farewell to Arms",tt0022879,Paramount,Paramount,co0023400,,afarewelltoarms,22649
6,1932,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0052198,"42nd Street",tt0024034,"Warner Bros.","Warner Bros.",co0080422,,42ndstreet,3062
6,1932,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0052202,"Little Women",tt0024264,"RKO Radio","RKO Radio",co0041421,,littlewomen,9587
6,1932,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0052204,"She Done Him Wrong",tt0024548,Paramount,Paramount,co0023400,,shedonehimwrong,43595
6,1932,Title,"BEST PICTURE","OUTSTANDING PRODUCTION",an0052206,"State Fair",tt0024610,Fox,Fox,co0028775,,statefair,27686
6,1932,Production,"SOUND RECORDING","SOUND RECORDING",an0052228,"A Farewell to Arms",tt0022879,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director","Paramount, Franklin B. Hansen","co0023400,nm0360630",TRUE,afarewelltoarms,22649
6,1932,Production,"SOUND RECORDING","SOUND RECORDING",an0052229,"42nd Street",tt0024034,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director","Warner Bros., Nathan Levinson","co0080422,nm0506080",,42ndstreet,3062
6,1932,Writing,"WRITING (Adapted Screenplay)","WRITING (Adaptation)",an0052216,"Little Women",tt0024264,"Victor Heerman, Sarah Y. Mason","Victor Heerman, Sarah Y. Mason","nm0373511,nm0556945",TRUE,littlewomen,9587
6,1932,Writing,"WRITING (Adapted Screenplay)","WRITING (Adaptation)",an0052218,"State Fair",tt0024610,"Paul Green, Sonya Levien","Paul Green, Sonya Levien","nm0338233,nm0397022",,statefair,27686
7,1934,Acting,"ACTOR IN A LEADING ROLE",ACTOR,an0056489,"It Happened One Night",tt0025316,"Clark Gable","Clark Gable",nm0000022,TRUE,ithappenedonenight,3078
